"order_month","total_orders","active_customers","total_revenue","avg_order_value","revenue_growth_pct"
"2016-09-01 00:00:00","1","1","143.46","143.46",""
"2016-10-01 00:00:00","265","265","46490.66","175.44","32306.71"
"2016-12-01 00:00:00","1","1","19.62","19.62","-99.96"
"2017-01-01 00:00:00","750","750","127482.37","169.98","649657.24"
"2017-02-01 00:00:00","1653","1653","271239.32","164.09","112.77"
"2017-03-01 00:00:00","2546","2546","414330.95","162.74","52.75"
"2017-04-01 00:00:00","2303","2303","390812.40","169.70","-5.68"
"2017-05-01 00:00:00","3546","3546","566851.40","159.86","45.04"
"2017-06-01 00:00:00","3135","3135","490050.37","156.32","-13.55"
"2017-07-01 00:00:00","3872","3872","566299.08","146.25","15.56"
"2017-08-01 00:00:00","4193","4193","645832.36","154.03","14.04"
"2017-09-01 00:00:00","4150","4150","701077.49","168.93","8.55"
"2017-10-01 00:00:00","4478","4478","751117.01","167.73","7.14"
"2017-11-01 00:00:00","7289","7289","1153364.20","158.23","53.55"
"2017-12-01 00:00:00","5513","5513","843078.29","152.93","-26.90"
"2018-01-01 00:00:00","7069","7069","1077887.46","152.48","27.85"
"2018-02-01 00:00:00","6555","6555","966168.41","147.39","-10.36"
"2018-03-01 00:00:00","7003","7003","1120598.24","160.02","15.98"
"2018-04-01 00:00:00","6798","6798","1132878.93","166.65","1.10"
"2018-05-01 00:00:00","6749","6749","1128774.52","167.25","-0.36"
"2018-06-01 00:00:00","6099","6099","1011978.29","165.93","-10.35"
"2018-07-01 00:00:00","6159","6159","1027807.28","166.88","1.56"
"2018-08-01 00:00:00","6351","6351","985491.64","155.17","-4.12"
